COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS,clean_text,pred_youtube,pred_twitter,pred_reviews,score_moyen,pred_consolidee
lzqpqhlyrh80uyxnuadwhigqynq96iucg aywqnpjpu,julius nm,2013 11 07t06 20 48,huh anyway check out this you tube channel kobyoshi02,1,lzqpqhlyrh80uyxnuadwhigqynq96iucg aywqnpjpu julius nm 2013 11 07t06 20 48 huh anyway check out this you tube channel kobyoshi02,1,1,positive,1.0,positive
lzqpqhlyrh c2cttd9mvfrjedxydavw 2sng5diuo4a,adam riyati,2013 11 07t12 37 15,hey guys check out my new channel and our first vid this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,1,lzqpqhlyrh c2cttd9mvfrjedxydavw 2sng5diuo4a adam riyati 2013 11 07t12 37 15 hey guys check out my new channel and our first vid this is us the monkeys i m the monkey in the white shirt please leave a like comment and please subscribe,1,0,positive,0.6666666666666666,positive
lzqpqhlyrh9mszynf8djyk0gef9bhdpyrrk qccziy8,evgeny murashkin,2013 11 08t17 34 21,just for test i have to say murdev com,1,lzqpqhlyrh9mszynf8djyk0gef9bhdpyrrk qccziy8 evgeny murashkin 2013 11 08t17 34 21 just for test i have to say murdev com,1,1,positive,1.0,positive
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,elnino melendez,2013 11 09t08 28 43,me shaking my sexy ass on my channel enjoy,1,z13jhp0bxqncu512g22wvzkasxmvvzjaz04 elnino melendez 2013 11 09t08 28 43 me shaking my sexy ass on my channel enjoy,1,1,positive,1.0,positive
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,gsmega,2013 11 10t16 05 38,watch v vtarggvgtwq check this out,1,z13fwbwp1oujthgqj04chlngpvzmtt3r3dw gsmega 2013 11 10t16 05 38 watch v vtarggvgtwq check this out,1,1,positive,1.0,positive
lzqpqhlyrh9 wnrtlzdm90f1k0brdvdjyn ysaswfxc,jason haddad,2013 11 26t02 55 11,hey check out my new website this site is about kids stuff kidsmediausa com,1,lzqpqhlyrh9 wnrtlzdm90f1k0brdvdjyn ysaswfxc jason haddad 2013 11 26t02 55 11 hey check out my new website this site is about kids stuff kidsmediausa com,1,0,negative,0.0,neutral
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013 11 27t21 39 24,subscribe to my channel,1,z13lfzdo5vmdi1cm123te5uz2mqig1brz04 ferleck ferles 2013 11 27t21 39 24 subscribe to my channel,1,1,positive,1.0,positive
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,bob kanowski,2013 11 28t12 33 27,i turned it on mute as soon is i came on i just wanted to check the views,0,z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k bob kanowski 2013 11 28t12 33 27 i turned it on mute as soon is i came on i just wanted to check the views,0,1,negative,0.0,neutral
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,cony,2013 11 28t16 01 47,you should check my channel for funny videos,1,z13ttt1jcraqexk2o234ghbgzxymz1zzi04 cony 2013 11 28t16 01 47 you should check my channel for funny videos,1,1,negative,0.3333333333333333,positive
z12avveb4xqiirsix04chxviiljryduwxg0,bebe burkey,2013 11 28t16 30 13,and u should d check my channel and tell me what i should do next,1,z12avveb4xqiirsix04chxviiljryduwxg0 bebe burkey 2013 11 28t16 30 13 and u should d check my channel and tell me what i should do next,1,1,positive,1.0,positive
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,huckyduck,2013 11 28t17 06 17,hey subscribe to me,1,z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k huckyduck 2013 11 28t17 06 17 hey subscribe to me,1,1,positive,1.0,positive
z13xit5agm2zyh4f523rst2gowmbx5bml,lone twistt,2013 11 28t17 34 55,once you have started reading do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,1,z13xit5agm2zyh4f523rst2gowmbx5bml lone twistt 2013 11 28t17 34 55 once you have started reading do not stop if you do not subscribe to me within one day you and you re entire family will die so if you want to stay alive subscribe right now,1,0,positive,0.6666666666666666,positive
z13pejoiuozwxtdu323dspopnri4xts0f,archie lewis,2013 11 28t17 54 39,,1,z13pejoiuozwxtdu323dspopnri4xts0f archie lewis 2013 11 28t17 54 39,0,1,positive,0.6666666666666666,positive
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,theuploadaddict,2013 11 28t18 12 12,subscribe like comment,1,z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k theuploadaddict 2013 11 28t18 12 12 subscribe like comment,1,1,positive,1.0,positive
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,francisco nora,2013 11 28t19 52 35,please like d,1,z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k francisco nora 2013 11 28t19 52 35 please like d,1,1,positive,1.0,positive
z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,gaming and stuff pro,2013 11 28t21 14 13,hello do you like gaming art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our expectations you can also check out what we ve got so far,1,z13phrmwrkfisn5er22eyrbpbvaiwfvwf04 gaming and stuff pro 2013 11 28t21 14 13 hello do you like gaming art videos scientific experiments tutorials lyrics videos and much much more of that if you do please check out our channel and subscribe to it we ve just started but soon we hope we will be able to cover all of our expectations you can also check out what we ve got so far,1,0,negative,0.0,neutral
z13bgdvyluihfv11i22rgxwhuvabzz1os04,zielimeek21,2013 11 28t21 49 00,i m only checking the views,0,z13bgdvyluihfv11i22rgxwhuvabzz1os04 zielimeek21 2013 11 28t21 49 00 i m only checking the views,0,1,positive,0.6666666666666666,positive
z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,outrightignite,2013 11 28t21 55 02,,1,z13vxpnoxsyeuv2jr04cctprprb1slnxdf4 outrightignite 2013 11 28t21 55 02,0,1,positive,0.6666666666666666,positive
z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,tony k frazier,2013 11 28t23 57 13,,1,z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k tony k frazier 2013 11 28t23 57 13,0,1,positive,0.6666666666666666,positive
z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,jose renteria,2013 11 29t00 22 01,we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,1,z13etj0bclzfztuwc04cgfvrgmf3fvjor1g jose renteria 2013 11 29t00 22 01 we are an edm apparel company dedicated to bringing you music inspired designs our clothing is perfect for any rave or music festival we have neon crop tops tank tops t shirts v necks and accessories follow us on facebook or on instagraml for free giveaways news and more visit our site at oncueapparel,1,0,positive,0.6666666666666666,positive
z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,2013 11 29t02 13 56,i think about 100 millions of the views come from people who only wanted to check the views,0,z12axnji5w2axxht522thb3bktvqjdlbp04 zhichao wang 2013 11 29t02 13 56 i think about 100 millions of the views come from people who only wanted to check the views,0,1,negative,0.0,neutral
z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,carlos thegamer,2013 12 01t01 20 21,subscribe to my channel people d,1,z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k carlos thegamer 2013 12 01t01 20 21 subscribe to my channel people d,1,1,positive,1.0,positive
